:norssi_4773 	owl:sameAs 	w:person_p280782 	.
:norssi_2846 	owl:sameAs 	w:person_p510632 	.
:norssi_4073 	owl:sameAs 	w:person_p258775 	.
:norssi_3744 	owl:sameAs 	w:person_p511725 	.
:norssi_10091 	owl:sameAs 	w:person_p254235 	.
:norssi_10091 	owl:sameAs 	w:person_p511591 	.
:norssi_2527 	owl:sameAs 	w:person_p8661 	.
:norssi_4250 	owl:sameAs 	w:person_p269815 	.
:norssi_2906 	owl:sameAs 	w:person_p270979 	.
:norssi_672 	owl:sameAs 	w:person_3626 	.
:norssi_676 	owl:sameAs 	w:person_2397 	.
:norssi_4066 	owl:sameAs 	w:person_p511763 	.
:norssi_3083 	owl:sameAs 	w:person_p520485 	.
:norssi_3299 	owl:sameAs 	w:person_p285320 	.
:norssi_8883 	owl:sameAs 	w:person_p521551 	.
:norssi_3573 	owl:sameAs 	w:person_p279237 	.
:norssi_2076 	owl:sameAs 	w:person_p8071 	.
:norssi_3257 	owl:sameAs 	w:person_p511717 	.
:norssi_4141 	owl:sameAs 	w:person_p8090 	.
:norssi_1377 	owl:sameAs 	w:person_3649 	.
:norssi_4177 	owl:sameAs 	w:person_p511761 	.
:norssi_3118 	owl:sameAs 	w:person_p510305 	.
:norssi_5868 	owl:sameAs 	w:person_p267644 	.
:norssi_862 	owl:sameAs 	w:person_1106 	.
:norssi_2596 	owl:sameAs 	w:person_p509385 	.
:norssi_2544 	owl:sameAs 	w:person_p510048 	.
:norssi_1992 	owl:sameAs 	w:person_p7940 	.
:norssi_3909 	owl:sameAs 	w:person_p8878 	.
:norssi_3669 	owl:sameAs 	w:person_p504934 	.
:norssi_3080 	owl:sameAs 	w:person_p2609 	.
:norssi_3282 	owl:sameAs 	w:person_p251878 	.
:norssi_3504 	owl:sameAs 	w:person_p9420 	.
:norssi_5487 	owl:sameAs 	w:person_p10582 	.
:norssi_3150 	owl:sameAs 	w:person_p511509 	.
:norssi_2345 	owl:sameAs 	w:person_p510496 	.
:norssi_6753 	owl:sameAs 	w:person_p522094 	.
:norssi_3631 	owl:sameAs 	w:person_p511983 	.
:norssi_49 	owl:sameAs 	w:person_p262207 	.
:norssi_6056 	owl:sameAs 	w:person_p251993 	.
:norssi_2669 	owl:sameAs 	w:person_p252773 	.
:norssi_2429 	owl:sameAs 	w:person_p9721 	.
:norssi_4300 	owl:sameAs 	w:person_p280504 	.
:norssi_2715 	owl:sameAs 	w:person_p3547 	.
:norssi_3087 	owl:sameAs 	w:person_p11883 	.
:norssi_1455 	owl:sameAs 	w:person_3398 	.
:norssi_4673 	owl:sameAs 	w:person_p266441 	.
:norssi_4677 	owl:sameAs 	w:person_p507737 	.
:norssi_1777 	owl:sameAs 	w:person_114 	.
:norssi_1416 	owl:sameAs 	w:person_2209 	.
:norssi_3766 	owl:sameAs 	w:person_p7862 	.
:norssi_2662 	owl:sameAs 	w:person_p285427 	.
:norssi_3274 	owl:sameAs 	w:person_p284741 	.
:norssi_3431 	owl:sameAs 	w:person_4574 	.
:norssi_1723 	owl:sameAs 	w:person_484 	.
:norssi_1687 	owl:sameAs 	w:person_p12525 	.
:norssi_3915 	owl:sameAs 	w:person_p592 	.
:norssi_845 	owl:sameAs 	w:person_1094 	.
:norssi_1290 	owl:sameAs 	w:person_2394 	.
:norssi_3242 	owl:sameAs 	w:person_4411 	.
:norssi_2777 	owl:sameAs 	w:person_p509155 	.
:norssi_3914 	owl:sameAs 	w:person_p1886 	.
:norssi_3193 	owl:sameAs 	w:person_p7949 	.
:norssi_4354 	owl:sameAs 	w:person_p750291 	.
:norssi_3848 	owl:sameAs 	w:person_p511077 	.
:norssi_645 	owl:sameAs 	w:person_1108 	.
:norssi_1573 	owl:sameAs 	w:person_4499 	.
:norssi_804 	owl:sameAs 	w:person_p10403 	.
