:norssi_5042 	owl:sameAs 	<http://ldf.fi/history/kb/p3437> 	.
:norssi_646 	owl:sameAs 	<http://ldf.fi/history/kb/p5716> 	.
:norssi_3525 	owl:sameAs 	<http://ldf.fi/history/kb/p5131> 	.
:norssi_1208 	owl:sameAs 	<http://ldf.fi/history/kb/p21> 	.
:norssi_989 	owl:sameAs 	<http://ldf.fi/history/kb/p2034> 	.
:norssi_437 	owl:sameAs 	<http://ldf.fi/history/kb/p4600> 	.
:norssi_860 	owl:sameAs 	<http://ldf.fi/history/kb/p5767> 	.
:norssi_5665 	owl:sameAs 	<http://ldf.fi/history/kb/p2988> 	.
:norssi_5296 	owl:sameAs 	<http://ldf.fi/history/kb/p127> 	.
:norssi_1994 	owl:sameAs 	<http://ldf.fi/history/kb/p2990> 	.
:norssi_3775 	owl:sameAs 	<http://ldf.fi/history/kb/p3433> 	.
:norssi_1093 	owl:sameAs 	<http://ldf.fi/history/kb/p4051> 	.
:norssi_1205 	owl:sameAs 	<http://ldf.fi/history/kb/p2670> 	.
:norssi_3408 	owl:sameAs 	<http://ldf.fi/history/kb/p2127> 	.
:norssi_2721 	owl:sameAs 	<http://ldf.fi/history/kb/p4693> 	.
:norssi_3238 	owl:sameAs 	<http://ldf.fi/history/kb/p786> 	.
:norssi_924 	owl:sameAs 	<http://ldf.fi/history/histo/p2816> 	.
:norssi_3830 	owl:sameAs 	<http://ldf.fi/history/kb/p2097> 	.
:norssi_4875 	owl:sameAs 	<http://ldf.fi/history/kb/p4096> 	.
:norssi_704 	owl:sameAs 	<http://ldf.fi/history/kb/p4019> 	.
:norssi_1332 	owl:sameAs 	<http://ldf.fi/history/histo/p3915> 	.
:norssi_91 	owl:sameAs 	<http://ldf.fi/history/kb/p4097> 	.
:norssi_1622 	owl:sameAs 	<http://ldf.fi/history/histo/p4324> 	.
:norssi_3394 	owl:sameAs 	<http://ldf.fi/history/kb/p3775> 	.
:norssi_346 	owl:sameAs 	<http://ldf.fi/history/kb/p1030> 	.
