uri	wikilink	description
norssi_3	https://fi.wikipedia.org/wiki?curid=545307	"""Väinö Alfred Blomstedt (1. huhtikuuta 1871 Savonlinna – 2. helmikuuta 1947 Helsinki) oli suomalainen taidemaalari, kuvittaja, piirtäjä ja tekstiilitaiteilija..."""
norssi_4001	https://fi.wikipedia.org/wiki?curid=528159	"""Yrjö Reinhold Emanuel Blomstedt (25. maaliskuuta 1926 Helsinki – 13. huhtikuuta 1994 Helsinki) oli suomalainen historioitsija, filosofian tohtori..."""
norssi_1637	https://fi.wikipedia.org/wiki?curid=994988	"""Arno Wilhelm (Wille) Boijer-Poijärvi (5. huhtikuuta 1899 Pöytyä – 22. toukokuuta 1975) oli suomalainen taidemaalari. Hänen teoksiaan oli ensi..."""
norssi_403	https://fi.wikipedia.org/wiki?curid=1051882	"""Toivo Ilmari Bonsdorff (15. helmikuuta 1879 Hämeenlinna – 17. lokakuuta 1950 Lahti) oli suomalainen geodeetti ja tähtitieteilijä. Hän oli Helsingin..."""
norssi_2273	https://fi.wikipedia.org/wiki?curid=471019	"""Karl Henrik "Heikki" Brotherus (1. huhtikuuta 1909 Helsinki – 30. lokakuuta 1985 Helsinki) oli suomalainen toimittaja, diplomaatti, lähetystöneuvos..."""
norssi_5662	https://fi.wikipedia.org/wiki?curid=930849	"""Tapani Kaarle Heikinpoika Brotherus (s. 12. kesäkuuta 1938 Kööpenhamina Tanska) on suomalainen diplomaatti, joka toimiessaan Suomen asiainhoitajana..."""
norssi_1033	https://fi.wikipedia.org/wiki?curid=243566	"""Karl Artur Brummer, Kaarle Arttu Brummer-Korvenkontio (10. toukokuuta 1891 Hämeenlinna – 4. maaliskuuta 1951 Helsinki) oli suomalainen..."""
norssi_56	https://fi.wikipedia.org/wiki?curid=1059003	"""Alfred Johannes Bäck eli Johannes Bäck nuorempi (1. syyskuuta 1872 Lappajärvi – 22. maaliskuuta 1952 Munsala) oli suomalainen pappi ja..."""
norssi_344	https://fi.wikipedia.org/wiki?curid=427354	"""Emil Einar Böök (10. marraskuuta 1874 Helsinki – 2. tammikuuta 1957 Helsinki) oli suomalainen sosiaalipoliitikan kehittäjä.
Böök oli suomalaisen..."""
norssi_4	https://fi.wikipedia.org/wiki?curid=1060096	"""Einar Fredrik Napoleon Candolin (5. tammikuuta 1869 Ullava – 10. maaliskuuta 1957 Lohja) oli suomalainen teologi, Turun suomalaisen lyseon rehtori..."""
norssi_1558	https://fi.wikipedia.org/wiki?curid=889907	"""Viljo Veli Castrén (7. lokakuuta 1901 Oulu – 29. toukokuuta 1984 Helsinki) oli Teknillisen korkeakoulun vesirakennuksen professori. Hän kirjoitti..."""
norssi_2170	https://fi.wikipedia.org/wiki?curid=1075191	"""Reino Jalmari Castrén (4. joulukuuta 1908 Helsinki – 2. joulukuuta 1981 Helsinki) oli suomalainen rautatienrakentamiseen ja liikennesuunnitteluun..."""
norssi_5937	https://fi.wikipedia.org/wiki?curid=1343026	"""Garth Christopher Castrén (s. 1939) on suomalainen diplomaatti, koulutukseltaan valtiotieteiden maisteri. Hän on ollut Suomen suurlähettiläs..."""
norssi_6400	https://fi.wikipedia.org/wiki?curid=670605	"""Aarno Erik Cronvall (s. 2. marraskuuta 1945 Helsinki) on suomalainen klassiseen musiikkiin erikoistunut toimittaja, tuottaja ja kulttuurivaikuttaja..."""
norssi_58	https://fi.wikipedia.org/wiki?curid=1228852	"""Otto Donner (junior) (3. elokuuta 1871 Helsinki – 12. heinäkuuta 1932 Espoo) oli suomalainen mesenaatti ja taiteenharrastaja. Hänen isänsä oli..."""
norssi_3685	https://fi.wikipedia.org/wiki?curid=465417	"""Kaarlo Ilmari Einiö (4. joulukuuta 1921 Helsinki – 22. marraskuuta 1976 Espoo) oli suomalainen maahockeypelaaja, koripalloilija ja jääpalloilija..."""
norssi_4003	https://fi.wikipedia.org/wiki?curid=109340	"""Paavo Juhani Einiö (13. huhtikuuta 1925 Helsinki – 17. heinäkuuta 2006 Helsinki) oli suomalainen ekonomi, musiikkielämän vaikuttaja ja monitoimimies..."""
norssi_3998	https://fi.wikipedia.org/wiki?curid=128004	"""Gregorius Ekholm (20. helmikuuta 1921 Tukholma – 14. marraskuuta 1985 Helsinki) oli Mannerheim-ristin ritari n:o 139. Aviottomana lapsena syntynyt..."""
norssi_2886	https://fi.wikipedia.org/wiki?curid=1106516	"""Östen Nils Oskar Elfving (14. syyskuuta 1914 Oulu – 26. tammikuuta 1983 Helsinki) oli suomalainen juristi, lainsäädäntöneuvos, korkeimman oikeuden..."""
norssi_33	https://fi.wikipedia.org/wiki?curid=1063226	"""Robert Elias Elmgren (1872–1942) oli suomalainen lääkäri. Hän oli Halilan tuberkuloosiparantolan ylilääkäri. Hän otti ensimmäisenä Suomessa keuhkotuberkuloosin..."""
