id	snimi	enimet	birth_place	birth_date	death_place	death_date					
http://ldf.fi/history/kb/p1860	Agricola	Mikael	Pernaja	1510	Viipuri	1557
http://ldf.fi/history/histo/p3101	Agricola	Mikael		1510		1557					
http://ldf.fi/history/kb/p5032	Agricola	Zelée	Helsinki	1838	Helsinki	1925
http://ldf.fi/history/kb/p2965	Ahava	Iivar	Kuopio	1873		1947
http://ldf.fi/history/kb/p1115	Ahava	Teini	Viipuri	1900	Helsinki	1960
http://ldf.fi/history/kb/p1119	Ahde	Matti	Oulu	1945			
http://ldf.fi/history/histo/p3753	Ahde	Matti Allan		1945					
http://ldf.fi/history/kb/p153	Ahla	Eino	Helsinki	1888		1961
http://ldf.fi/history/kb/p4377	Ahla	Väinö	Helsinki	1890	Helsinki	1977
http://ldf.fi/history/kb/p3485	Ahlberg	Axel	Turku	1855	Hanko	1927
http://ldf.fi/history/kb/p6069	Ahlberg	Bruno	Espoo	1911	Helsinki	1966
http://ldf.fi/history/kb/p1381	Ahlfors	Lars	Helsinki, Helsinki, Helsinki	1907, 1907, 1907	Yhdysvallat, Massachusetts, Pittsfield	1996, 1996, 1996
http://ldf.fi/history/kb/p587	Ahlgrén	Lauri	Karkku	1929			
http://ldf.fi/history/histo/p3656	Ahlgrén	Olavi		1897		1966					
http://ldf.fi/history/kb/p3558	Ahlman	Einar	Pöytyä	1872	Kuusankoski	1937
http://ldf.fi/history/kb/p2270	Ahlman	Erik	Turku	1892	Helsinki	1952
http://ldf.fi/history/kb/p6361	Ahlman	Gabriel	Perniö	1737	Messukylä	1799
http://ldf.fi/history/kb/p3005	Ahlqvist	August	Kuopio	1826	Helsinki	1889
http://ldf.fi/history/kb/p5845	Ahlqvist	Carl Henrik	Virolahti	1825	Hamina	1909
http://ldf.fi/history/kb/p1630	Ahlstedt	Fredrik	Turku	1839	Parainen	1901
http://ldf.fi/history/kb/p3542	Ahlstedt	Nina	Turku	1853	Helsinki	1907
http://ldf.fi/history/kb/p175	Ahlström	Antti	Merikarvia	1827	Helsinki	1896
http://ldf.fi/history/kb/p2362	Ahlström	Hans	Helsinki	1904	Noormarkku	1960
http://ldf.fi/history/kb/p6007	Ahlström	Walter	Noormarkku	1875	Noormarkku	1931
http://ldf.fi/history/kb/p5368	Ahlstubbe	Lars	Oravainen	1804	Hamina	1870
http://ldf.fi/history/kb/p5754	Ahmala	Kössi	Lumijoki	1889	Viipuri	1918
http://ldf.fi/history/kb/p2877	Ahmavaara	Arvi	Ii	1886	Oulu	1957
http://ldf.fi/history/kb/p5849	Ahmavaara	Pekka	Ylitornio	1862	Oulu	1929
http://ldf.fi/history/kb/p2451	Ahnger	Alexandra	Kuopio	1859	Helsinki	1940
http://ldf.fi/history/kb/p2344	Aho	Aukusti	Turku	1867	Helsinki	1934
http://ldf.fi/history/kb/p2720	Aho	Esko	Veteli	1954			
http://ldf.fi/history/kb/p930	Aho	Heikki	Hausjärvi	1895	Helsinki	1961
http://ldf.fi/history/kb/p4383	Aho	Juhani	Kemi, Kemi, Lapinlahti, Lapinlahti	1896, 1896, 1861, 1861	Helsinki, Kokkola, Helsinki, Kokkola	1921, 1969, 1921, 1969
http://ldf.fi/history/histo/p4106	Aho	Juhani		1861		1921					
http://ldf.fi/history/kb/p1856	Aho	Kalevi	Forssa	1949			
http://ldf.fi/history/kb/p5340	Aho	Lauri	Uusimaa, Pyhäjärvi	1901, 1901	Helsinki, Helsinki	1985, 1985
http://ldf.fi/history/kb/p3416	Aho	Matti Lauri	Helsinki	1932	Helsinki	1996
http://ldf.fi/history/kb/p5747	Aho	Pekka	Lapinlahti	1864	Raahe	1945
http://ldf.fi/history/kb/p1071	Ahola	Pentti	Helsinki	1919	Helsinki	1972
http://ldf.fi/history/kb/p621	Ahola	Simbri	Alavus	1894		1967
http://ldf.fi/history/kb/p4789	Ahola-Valo	Aleksanteri	Karjala	1900	Ruotsi	1997
http://ldf.fi/history/histo/p3852	Ahonen	Pekka		1919		2002					
http://ldf.fi/history/kb/p2153	Ahrenberg	Johan Jacob	Viipuri	1847	Helsinki	1914
http://ldf.fi/history/kb/p2253	Ahsen Böre	Zinnetullah	Venäjä	1886	Tampere	1945
http://ldf.fi/history/kb/p5428	Ahtisaari	Eeva	Varkaus	1936			
http://ldf.fi/history/kb/p131	Ahtisaari	Martti	Viipuri	1937			
http://ldf.fi/history/kb/p2721	Ahtola	Taisto	Pori	1917	Hämeenlinna	2000
http://ldf.fi/history/kb/p3172	Ahtola	Veikko	Nakkila	1918	Helsinki	1993
http://ldf.fi/history/kb/p3554	Aikala	Olga	Iitti	1883		1962
http://ldf.fi/history/kb/p1919	Aikasarria	Niila Antinpoika		1600		1689
http://ldf.fi/history/kb/p1398	Ailio	Julius	Loppi	1872	Helsinki	1933
http://ldf.fi/history/histo/p3294	Ailio	Julius		1872		1933					
http://ldf.fi/history/histo/p2708	Airamo	Elin		1886		1971					
http://ldf.fi/history/kb/p5127	Airila	Martti	Ilmajoki	1878	Helsinki	1953
http://ldf.fi/history/kb/p2180	Airila	Yrjö	Vaasa	1887	Helsinki	1949
http://ldf.fi/history/kb/p862	Airo	Aksel Fredrik	Turku	1898	Heinola	1985
http://ldf.fi/history/histo/p2966	Airo	Aksel Fredrik		1898		1985					
http://ldf.fi/history/kb/p5112	Airola	Matti	Ruokolahti, Ruokolahti	1882, 1882	Neuvostoliitto, Leningrad	1939, 1939
http://ldf.fi/history/kb/p1921	Aitamurto	Aarno	Muhos	1936	Mäntyharju	2008
http://ldf.fi/history/kb/p1314	Aitamäki	Kaarlo	Pertteli	1903	Pertteli	1973
http://ldf.fi/history/kb/p4115	Aitio	Paavo	Turku	1918	Turku	1989
http://ldf.fi/history/kb/p3712	Aittala	Wiljam	Nousiainen	1920	Paimio	1993
http://ldf.fi/history/kb/p4397	Akashi	Motojirô	Japani, Japani, Fukuoka, Fukuoka	1864, 1864, 1864, 1864	Kiina, Formosa, Kiina, Formosa	1919, 1919, 1919, 1919
http://ldf.fi/history/kb/p5244	Aken	Peter van	Saksa, Aken	1510, 1510		1550, 1550
http://ldf.fi/history/kb/p3288	Akiander	Matthias	Jääski	1802	Helsinki	1871
http://ldf.fi/history/histo/p2402	Akiander	Matthias		1802		1871					
http://ldf.fi/history/kb/p1917	Akimov	Peter	Viipuri	1885	Helsinki	1956
http://ldf.fi/history/kb/p3116	Ala-Kulju	Eveliina	Lehtimäki	1867	Seinäjoki	1940
http://ldf.fi/history/kb/p3013	Ala-Könni	Erkki	Ilmajoki	1911	Tampere	1996
http://ldf.fi/history/kb/p919	Alaja	Osmo	Helsinki	1915	Tampere	2001
http://ldf.fi/history/kb/p1916	Alajoki	Ernsti	Lapua	1882	Lapua	1958
http://ldf.fi/history/kb/p5385	Alanen	Joseph	Tampere	1885	Helsinki	1920
http://ldf.fi/history/kb/p4906	Alanen	Julius	Tampere	1882	Helsinki	1952
http://ldf.fi/history/kb/p2248	Alanko	Uuno	Mäntsälä	1878	Helsinki	1964
http://ldf.fi/history/kb/p3691	Alanne	Vieno Severi	Hämeenlinna	1879	Helsinki	1960
http://ldf.fi/history/kb/p5319	Alanus	Georgius Christophori	Jomala	1609	Turku	1664
http://ldf.fi/history/kb/p1918	Alariesto	Andreas	Sodankylä	1900	Sodankylä	1989
http://ldf.fi/history/kb/p1862	Alcenius	Elias Robert	Isojoki	1796	Lapväärtti	1875
http://ldf.fi/history/kb/p1638	Alcenius	Maria Charlotta	Kruunupyy	1834	Mustasaari	1887
http://ldf.fi/history/kb/p4394	Alcenius	Otto	Kruunupyy	1838	Helsinki	1913
http://ldf.fi/history/kb/p2848	Alenius	Ele	Tampere	1925			
http://ldf.fi/history/kb/p5865	Alfthan	Anton	Viipuri	1856	Helsinki	1933
http://ldf.fi/history/kb/p4366	Alfthan	Axel	Viipuri	1862	Helsinki	1934
http://ldf.fi/history/kb/p4237	Alfthan	Carl	Venäjä, Tver	1860, 1860	Helsinki, Helsinki	1940, 1940
http://ldf.fi/history/kb/p1706	Alfthan	Georg von	Viipuri	1828	Helsinki	1896
http://ldf.fi/history/kb/p5843	Alfthan	Johannes	Viipuri, Viipuri	1830, 1830	Ruotsi, Tukholma	1893, 1893
http://ldf.fi/history/kb/p3753	Alfthan	Max Theodor	Viipuri, Viipuri	1863, 1863	Ruotsi, Tukholma	1914, 1914
http://ldf.fi/history/kb/p2492	Alfthan	Olof	Elimäki	1925	Helsinki	2000
http://ldf.fi/history/kb/p6262	Alfving	Per Johan	Ruotsi, Ruotsi, Norrköping, Norrköping	1739, 1739, 1739, 1739	Ruotsi, Söderköping, Ruotsi, Söderköping	1810, 1810, 1810, 1810
http://ldf.fi/history/kb/p5106	Alholm	Björn-Olof	Mikkeli	1925			
http://ldf.fi/history/kb/p3596	Ali-Melkkilä	Matti	Perniö	1930	Tenhola	1989
http://ldf.fi/history/kb/p544	Alkio	Paavo	Laihia	1902	Laihia	1983
http://ldf.fi/history/kb/p3509	Alkio	Santeri	Laihia	1862	Laihia	1930
http://ldf.fi/history/histo/p4727	Alkunen	J.H.					
http://ldf.fi/history/kb/p2676	Allardt	Erik	Helsinki	1925			
http://ldf.fi/history/kb/p1038	Allén	Carl	Helsinki	1874	Helsinki	1951
http://ldf.fi/history/kb/p2563	Alm	Johan		1728	Vaasa	1810
http://ldf.fi/history/kb/p3687	Almi	Alfons	Helsinki	1904	Helsinki	1991
http://ldf.fi/history/kb/p5459	Alopaeus	Carl Henrik	Juva	1825	Savonranta	1892
http://ldf.fi/history/kb/p1394	Alopaeus	David	Viipuri, Viipuri	1769, 1769	Saksa, Berliini	1831, 1831
http://ldf.fi/history/histo/p3130	Alopaeus	Magnus Erik		1806		1874					
http://ldf.fi/history/kb/p3233	Alopaeus	Magnus Jacob	Leppävirta	1743	Porvoo	1818
http://ldf.fi/history/histo/p2704	Alopaeus	Magnus Jacob		1743		1818					
http://ldf.fi/history/kb/p4469	Alopaeus	Marianne	Tammisaari	1918			
http://ldf.fi/history/kb/p6135	Alopaeus	Samuel	Venäjä	1721	Sortavala	1793
http://ldf.fi/history/kb/p1340	Alpola	Antero	Kaavi	1917	Kerava	2001
http://ldf.fi/history/kb/p4979	Alppinen	Maunu	Vaasa	1922		1998
http://ldf.fi/history/kb/p6378	Altendörffer	Johan Hieronymus	Saksa, Preussi	1590, 1590		1639, 1639
http://ldf.fi/history/kb/p5841	Althna	Gese	Saksa	1600	Saksa	1700
http://ldf.fi/history/kb/p1788	Aminoff	Brita Sofia	Iisalmi	1753	Loviisa	1818
http://ldf.fi/history/kb/p690	Aminoff	Cecil	Helsinki	1911	Helsinki	1972
http://ldf.fi/history/histo/p3424	Aminoff	G. G					
http://ldf.fi/history/histo/p4667	Aminoff	Germund Fredrik		1800		1876					
http://ldf.fi/history/kb/p2999	Aminoff	Henrik Johan	Narva, Viro	1680, 1680	Liljendal, Liljendal	1758, 1758
http://ldf.fi/history/kb/p6201	Aminoff	Iwar	Turku	1868	Lemu	1931
http://ldf.fi/history/kb/p1066	Aminoff	Johan Fredrik		1756		1842
http://ldf.fi/history/histo/p2088	Aminoff	Torsten Ivan		1881		1946 					
http://ldf.fi/history/kb/p2161	Amnell	Johan	Kalajoki	1692	Tammela	1772
http://ldf.fi/history/histo/p3134	Ampuja	Mikko		1882		1947 					
http://ldf.fi/history/kb/p306	Amsterdam	Naftali	Liettua, Liettua	1832, 1832	Israel, Jerusalem	1916, 1916
http://ldf.fi/history/histo/p2769	Anckarström	Jacob Johan (1762 – 1792)					
http://ldf.fi/history/histo/p4415	Andelin	Erik Johan		1804		1893					
http://ldf.fi/history/histo/p3464	Anders	Hans					
http://ldf.fi/history/kb/p1600	Andersin	Hanna	Turku	1861	Helsinki	1914
http://ldf.fi/history/kb/p702	Andersin	Hans	Säkkijärvi	1930	Helsinki	2010
http://ldf.fi/history/kb/p4254	Andersin	Walter	Rantasalmi	1871	Rantasalmi	1944
http://ldf.fi/history/kb/p1886	Anderson	Amos	Kemiö	1878	Dragsfjärd	1961
